"MATNR","TO_CHAR(ERDAT,'YYYYMMDD')","KWMENG","SEND_LOCID","ABC_HITS_NETWORK","ABC_COST","ABC_DEMAND","P4","END_DATE","HOSTPLANNERCODEID"
"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"6RD959801E","20170215","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161226","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170106","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161114","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161014","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170925","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170205","4","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160510","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161026","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170216","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230216","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230217","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230307","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230307","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230410","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230504","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230505","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230908","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170315","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190318","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161115","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160611","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170704","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221026","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221024","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221020","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221024","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230106","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230105","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230202","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230612","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211210","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211213","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220401","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220401","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220403","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220419","4","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220421","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220421","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220420","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220422","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220418","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220420","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220601","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221109","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221109","4","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221109","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211208","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211209","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211209","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211207","300","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211214","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171210","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170116","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220329","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221017","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221017","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221026","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221026","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230103","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230320","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230517","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230515","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170319","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220102","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220104","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211231","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170810","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171225","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220424","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220607","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220408","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220407","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220411","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220412","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220408","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220408","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220308","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180124","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180319","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180223","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190220","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170830","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170508","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20181203","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161102","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180110","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160830","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160902","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170330","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230618","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221014","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221202","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221205","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221206","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230314","15","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230314","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230315","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230316","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230316","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230316","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230317","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230315","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230313","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230313","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190515","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170103","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180312","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171117","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220304","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220303","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220303","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220303","4","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220304","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220302","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220406","40","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220406","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220628","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220919","50","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221103","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180502","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160718","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170724","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190321","22","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190401","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170111","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160926","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190215","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161125","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170207","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160718","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180312","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220829","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160829","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230605","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230605","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180313","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170106","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170123","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161018","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170424","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171218","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220228","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220227","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220228","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220228","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220301","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220324","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220328","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220328","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220328","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220516","8","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220225","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220223","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220223","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220225","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220224","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220226","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220317","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220317","20","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220516","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220617","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220617","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220616","15","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220615","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220615","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220621","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220805","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220807","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220805","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220808","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220808","50","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220809","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220909","30","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170319","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180314","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180320","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161114","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170309","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170609","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190520","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190924","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211122","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211118","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161025","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161209","1","1000-1","B","C","FAST","9","0619","043"
"11D941078C","20230903","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230811","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230829","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230827","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20231024","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230219","1","1000-2","D","A","MIDDLE","9","","043"
"11D941078C","20230317","1","1000-2","D","A","MIDDLE","9","","043"
